Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
とおもう,～かとおもうほど,,①彼は、いつ寝ているのかと思うほどいそがしそうだ。,,,,,,,,,,,,,,,,,,,
とおもう,V－るかとおもえば,,①勉強しているかと思えば漫画を読んでいる。,,,,,,,,,,,,,,,,,,,
とおもう,V－るかとおもえば～も,,①熱心に授業に出る学生がいるかと思えば、全然出席せずに試験だけ受けるような学生もいる。,,,,,,,,,,,,,,,,,,,
とおもう,～からとおもって,,①体にいいからと思って、緑の野莱を食べるようにしています。,,,,,,,,,,,,,,,,,,,
とおもう,疑問詞～かとおもったら,,①何を言うのかと思ったら、そんなくだらないことか。,,,,,,,,,,,,,,,,,,,
とおもう,～たいとおもう→【おもう】～とおもいきや,,①今場所は横綱の優勝間違いなしと思いきや、日目にケガで休場することになってしまった。,,,,,,,,,,,,,,,,,,,
とおもう,～とおもう→【おもう】～とおもうまもなく,,①つめたい雨が降ってきたと思う間もなく、それは雪にかわった。,,,,,,,,,,,,,,,,,,,
とおもう,BV－たとおもうと,,①急に空が暗くなったかと思うと、大粒の雨がふってきた。,,,,,,,,,,,,,,,,,,,
とおもう,～とおもったものの　→【ものの】Nにとおもって,,①おばあちゃんへのお土産にと思って、湯飲み茶碗を買った。,,,,,,,,,,,,,,,,,,,
とおり,数詞／なん／いく　とおり,,①駅からあの建物までには3通りの行き方がある。,,,,,,,,,,,,,,,,,,,
とおり,～どおり　Nどおり　R－どおり,,①計画はなかなか予定どおりには進まないものだ。,,,,,,,,,,,,,,,,,,,
とおり,V－る／V－た　とおり,,①おっしゃるとおりです。（＝あなたの意見に賛成です。）,,,,,,,,,,,,,,,,,,,
とか1,Nとか（Nとか）,,①病気のお見舞いには果物とかお花が好まれる。,,,,,,,,,,,,,,,,,,,
とか1,V－るとか（V－るとか）,,①休日はテレビを見るとか、買い物するとかして過ごすことが多い。,,,,,,,,,,,,,,,,,,,
とか2,～とか（いう）,,①山田さんとかいう人が訪ねてきていますよ。,,,,,,,,,,,,,,,,,,,
とか2,～とか～とか（いう）,,①彼女は買い物に行くとこれがいいとかあれがいいとか言って、決まるまでに本当に時間がかかる。,,,,,,,,,,,,,,,,,,,
とか2,だとかいうことだ　A／V　とかいうことだ,,①隣の娘さんは来月結婚式を挙げるとかいうことだ。,,,,,,,,,,,,,,,,,,,
とか2,だとかで　A／V　とかで,,①途中で事故があったとかで、彼は1時間ほど遅刻してきた。,,,,,,,,,,,,,,,,,,,
とかく,とかく～がちだ,,①女だというだけで、とかく軽く見られがちだ。,,,,,,,,,,,,,,,,,,,
とかく,とかく,,①先のことを今からとかく心配してもしようがない。,,,,,,,,,,,,,,,,,,,
