Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
ひととおり,ひととおりではない,N2,,①成功するまでの彼の努力は、一通りではなかった。,,,,,,,,,,,,,,,,,,,
ひとり～だけでなく,ひとりNだけでなく,N1,,①子供のいじめは、ひとり日本だけでなく世界諸国の問題でもある。,,,,,,,,,,,,,,,,,,,
ひとり～のみならず,ひとりNのみならず,N1,,①環境汚染の問題は、ひとり我が国のみならず全世界の問題でもある。,,,,,,,,,,,,,,,,,,,
ふう,Nふう,N4,,①あの寺は中国風だ。,,,,,,,,,,,,,,,,,,,
ふう,～ふう＜様子＞　Naなふう　A－いふう　V－ている／V－た　ふう,N3,,①そんなに嫌がっているふうでもなかった。,,,,,,,,,,,,,,,,,,,
ふう,こういうふう,N4,,①こういうふうにやってごらん。,,,,,,,,,,,,,,,,,,,
ふう,～というふうに,N2,,①好きな時間に会社へ行き、好きな時間に帰るというふうにはいかないものだろうか。,,,,,,,,,,,,,,,,,,,
ふしがある,,N2,,①彼はどうも行くのをいやがっているふしがある。,,,,,,,,,,,,,,,,,,,
ふそくはない,,N2,,①相手にとって不足はない。,,,,,,,,,,,,,,,,,,,
ふと,ふと,N3,,①彼は映画の広告を見つけて、ふと立ち止まった。,,,,,,,,,,,,,,,,,,,
ふと,ふとV－ると,N3,,①ふと見上げると、空にはぽっかり白い雲が浮かんでいた。,,,,,,,,,,,,,,,,,,,
ふと,ふとしたN,N2,,①長い一生の間には、ふとしたことで、人生が嫌になることがあるものだ。,,,,,,,,,,,,,,,,,,,
ぶり,～ぶり　Nぶり　R－ぶり,N3,,①最近の彼女の活躍ぶりは、みんなが知っている。,,,,,,,,,,,,,,,,,,,
ぶり,～ぶり,N3,,①10数年ぶりに国に帰った。,,,,,,,,,,,,,,,,,,,
ぶる,N／Naぶる,N2,,①彼は、通ぶってフランスの上等なワインしか飲まない。,,,,,,,,,,,,,,,,,,,
ぶん,～ぶん　Nのぶん　Vぶん　期間を表す名詞＋ぶん,N3,,①甘いものが大好きな弟は、私のぶんのケーキまで食べてしまった。,,,,,,,,,,,,,,,,,,,
ぶん,～ぶん（だけ）　Nのぶん　Naなぶん　A／V　ぶん,N2,,①1年間の休職の分だけ、仕事がたまっていた。,,,,,,,,,,,,,,,,,,,
ぶん,このぶんでいくと　このぶんでは,N2,,①一年かかって、まだ半分も終わっていない。このぶんでいくと完成するには三年ぐらいかかりそうだ。,,,,,,,,,,,,,,,,,,,
ぶん,～ぶんには　Naなぶんには　A／V　ぶんには,N2,,①はたで見ているぶんには楽そうだが、自分でやってみるとどんなに大変かがわかる。,,,,,,,,,,,,,,,,,,,
べからざる,V－るべからざる,N1,,①川端康成は日本の文学史上、欠くべからざる作家だ。,,,,,,,,,,,,,,,,,,,
