Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
いまごろ,いまころになって,N3,,①注文していた本が、今ごろになってやっと届いた。,,,,,,,,,,,,,,,,,,,
いまごろ,いまごろ　V－ても／V－たところで,N3,,①今ごろ佐藤さんに電話しても、もううちを出ているのではないだろうか。,,,,,,,,,,,,,,,,,,,
いまさら,いまさら,N2,,①もうその問題は解決済みなのに、今さらどうしようというのですか。,,,,,,,,,,,,,,,,,,,
いまさら,いまさらV－ても　いまさらV－たところで,N2,,①今さら文句を言われてもどうしようもない。,,,,,,,,,,,,,,,,,,,
いまさら,いまさらながら,N2,,①今さらながら彼の賢さには感心する。,,,,,,,,,,,,,,,,,,,
いまさら,いまさらのように,N2,,①そういえば昔はここでよく友達と鬼ごっこをしたなあと、今さらのようになつかしく思った。,,,,,,,,,,,,,,,,,,,
いまだ,いまだに,N2,,①あの人いまだに病気で寝込んでるんだって。,,,,,,,,,,,,,,,,,,,
いまだ,いまだ（に）V－ない,N2,,①行方不明の二人の消息は未だにつかめていない。,,,,,,,,,,,,,,,,,,,
いまでこそ,だが　いまでこそし～A／～Vが,N2,,①二人は今でこそ円満に暮らしているが、結婚当初は毎日喧嘩が絶えなかった。,,,,,,,,,,,,,,,,,,,
いまに,,N2,,①あんなに働いていたら、あいつは今に過労で倒れるだろう。,,,,,,,,,,,,,,,,,,,
いまにも,いまにもV－そうだ,N4,,①今にも雨が降りそうだ。,,,,,,,,,,,,,,,,,,,
いまや,,N1,,①彼女は今や押しも押されもせぬ花形スターだ。,,,,,,,,,,,,,,,,,,,
いらい,Nいらい,N3,,①あれ以来彼女は姿を見せない。,,,,,,,,,,,,,,,,,,,
いらい,V－ていらい,N3,,①夏休みに風邪で寝込んで以来、どうも体の調子が悪い。,,,,,,,,,,,,,,,,,,,
いらい,V－ていらいはじめて,N3,,①引っ越してきて以来、初めて隣の人と言葉を交わした。,,,,,,,,,,,,,,,,,,,
いらい,Nは、～いらいだ　Nは、Nいらいだ　Nは、V－ていらいだ,N3,,①お会いするのは、去年の9月以来ですね。,,,,,,,,,,,,,,,,,,,
いわば,いわばNのような　いわばVような,N2,,①彼女の家は石造りの洋館でいわばドイツのお城のような造りだった。,,,,,,,,,,,,,,,,,,,
いわゆる,いわゆるN,N3,,①これがいわゆるエスニック料理というものですか。,,,,,,,,,,,,,,,,,,,
うえ,Nのうえで（は）,N3,,①暦の上ではもう春だというのに、まだまだ寒い日が続いている。,,,,,,,,,,,,,,,,,,,
うえ,V－るうえで,N2,,①パソコンを買う上で注意しなければならないことは何ですか。,,,,,,,,,,,,,,,,,,,
