Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
こととおもう,Nのこととおもう　Naなこととおもう　A／V　こととおもう,N2,,①≪手紙≫「ごぶさたいたしておりますが、お元気でおすごしのことと思います。」,,,,,,,,,,,,,,,,,,,
こととて,Nのこととて　Vこととて,N1,,①子供のやったこととて、大目に見てはいただけませんか。,,,,,,,,,,,,,,,,,,,
ことなく,V－ることなく,N2,,①ひどいゆきだったが、列車はおくれることなく京都についた。,,,,,,,,,,,,,,,,,,,
ことなしに,V－ることなしに,N1,,①努力することなしに成功はありえない。,,,,,,,,,,,,,,,,,,,
ことに,Naなことに　A－いことに　V一たことに,N3,,①残念なことに、私がたずねたときには、その人はもう引っ越したあとだった。,,,,,,,,,,,,,,,,,,,
ごとに,Nごとに　V－ることに,N3,,①このめざまし時計は5分ごとに鳴る。,,,,,,,,,,,,,,,,,,,
ことにしている,「Vことにしている,N4,,①私は毎日かならず日記をつけることにしている。,,,,,,,,,,,,,,,,,,,
ことにする,～ことにする＜決定＞　Vことにする,N4,,①あしたからジョギングすることにしよう。,,,,,,,,,,,,,,,,,,,
ことにする,だということにする　V－た（という）ことにする,N3,,①その話は聞かなかった（という）ことにしましょう。,,,,,,,,,,,,,,,,,,,
ことになっている,Nということになっている　V－る（という）ことになっている　V－ない（という）ことになっている,N4,,①やすむときは学校に連絡しなければならないことになっています。,,,,,,,,,,,,,,,,,,,
ことになる,～ことになる＜決定＞　Nということになる　V－る（という）ことになる　V－ない　くという）ことになる,N4,,①こんど大阪支社に行くことになりました。,,,,,,,,,,,,,,,,,,,
ことになる,～ことになる＜言いかえ＞　Nということになる　V－る（という）ことになる　V－ない（という）ことになる,N3,,①4年も留学するの？じゃあ、あの会社には就職しないことになるの？,,,,,,,,,,,,,,,,,,,
ことには,V－ることには,N2,,①その子供たちの言うことには、彼らの両親はもう二日も帰ってきていないらしい。,,,,,,,,,,,,,,,,,,,
ことには,V－ないことには,N2,,①先生が来ないことにはクラスははじまらない。,,,,,,,,,,,,,,,,,,,
ことは～が,NaなことはNaだが　AことはAが　VことはVが,N3,,①読んだことは読んだが、ぜんぜん分からなかった。,,,,,,,,,,,,,,,,,,,
ことはない,V－ることはない,N3,,①心配することはないよ。ぼくもてつだうからがんばろう。,,,,,,,,,,,,,,,,,,,
ことはならない,Vことはならない,N1,,①だめだ。あんな男と結婚することはならない。おまえはだまされているんだ。おとうさんはぜったいにゆるさない。,,,,,,,,,,,,,,,,,,,
このたび,,N2,,①この度はご結婚おめでとうございます。,,,,,,,,,,,,,,,,,,,
こむ,R－こむ,N4,,①ここに名前を書きこんでください。,,,,,,,,,,,,,,,,,,,
ごらん,,N4,,①どうぞ、ご自由にごらんください。,,,,,,,,,,,,,,,,,,,
