Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
だからこそ,,,①A：どうして彼女はその不審な電話のことを社長に話さなかったんでしょうか。B：彼女は社長に信頼されていたんです。だからこそまず自分で調べようとしたんだと思います。,,,,,,,,,,,,,,,,,,,
だからといって,,,①毎日忙しい。しかし、だからといって、好きな陶芸をやめるつもりはない。,,,,,,,,,,,,,,,,,,,
たがる,R－たがる,,①子供というものははなんでも知りたがる。,,,,,,,,,,,,,,,,,,,
だけ１,～だけ,,①今度の事件に関係がないのは彼だけだ。,,,,,,,,,,,,,,,,,,,
だけ１,～といってもせいぜい～だけだ,,①ボーナスといってもせいぜい一ケ月分出るだけだ。,,,,,,,,,,,,,,,,,,,
だけ１,～たところで～だけだ,,①急いで計算したところで間違いが多くなるだけだ。,,,,,,,,,,,,,,,,,,,
だけ１,ただ～だけでは,,①スポーツはただ見るだけでは面白くない。,,,,,,,,,,,,,,,,,,,
だけ１,～だけで,,①明日からまた仕事だと思うと、考えるだけでいやになる。,,,,,,,,,,,,,,,,,,,
だけ１,～だけしか～ない,,①今月、残ったお金はこれだけしかありません。,,,,,,,,,,,,,,,,,,,
だけ１,～だけでなく～も,,①肉だけでなく、野菜も食べなければいけない。,,,,,,,,,,,,,,,,,,,
だけ１,～だけのことだ,,①だれも行かないのなら私が行くだけのことだ。,,,,,,,,,,,,,,,,,,,
だけ１,～というだけ（の理由）で,,①その野菜はめずらしいというだけでよく売れている。,,,,,,,,,,,,,,,,,,,
だけ１,V－るだけV－て,,①彼女は文句を言うだけ言ってなにも手伝ってくれない。,,,,,,,,,,,,,,,,,,,
だけ2,程度を表す。V－れるだけV,,①がんばれるだけがんばってみます。,,,,,,,,,,,,,,,,,,,
だけ2,V－たいだけV,,①ここが気に入ったのなら、いたいだけいていいですよ。,,,,,,,,,,,,,,,,,,,
だけ2,V一るだけはV,,①やるだけはやったのだから、静かに結果を待とう。,,,,,,,,,,,,,,,,,,,
だけ2,V－る／V－ただけのことはする,,①お金をいただいただけのことはしますが、それ以上のことは出来かねます。,,,,,,,,,,,,,,,,,,,
だけ2,V－るだけのN,,①どんなところでも生きていけるだけの生活力が彼にはある。,,,,,,,,,,,,,,,,,,,
だけ2,V－ぱV－るだけ,,①交渉は時間をかければかけるだけ余計にもつれていった。,,,,,,,,,,,,,,,,,,,
だけ2,これだけ～のだから,,①これだけ努力したんだからいつかは報われるだろう。,,,,,,,,,,,,,,,,,,,
