Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
なんという,なんという＋連体修飾句＋N,N3,,①なんという馬鹿なやつだ。,,,,,,,,,,,,,,,,,,,
なんという,なんというNだ,N3,,①こんな大きな石を一人で持ち上げられるなんて、何という男だ。,,,,,,,,,,,,,,,,,,,
なんという,なんということもない,N3,,①何ということもなく、毎日が穏やかに過ぎて行く。,,,,,,,,,,,,,,,,,,,
なんとか,なんとか＜意志的＞,N3,,①なんとかして山田さんを助け出そう。,,,,,,,,,,,,,,,,,,,
なんとか,なんとか＜自動的＞,N3,,①安月給だがなんとか食べていくことはできる。,,,,,,,,,,,,,,,,,,,
なんとか,なんとかなる,N4,,①そんなに心配しなくてもなんとかなりますよ。,,,,,,,,,,,,,,,,,,,
なんとかいう,なんとかいう,N3,,①私の言うことは聞こうとしないから、あなたから何とか言ってやって下さい。,,,,,,,,,,,,,,,,,,,
なんとかいう,なんとかいうN,N3,,①大阪の何とかいう人から電話がありましたよ。,,,,,,,,,,,,,,,,,,,
なんとかいう,NとかなんとかいうN,N2,,①ポエムとか何とかいう喫茶店で会うと言っていました。,,,,,,,,,,,,,,,,,,,
なんとかいう,～とかなんとかいう,N2,,①あの男は給料が安いとかなんとか言って辞めたそうだ。,,,,,,,,,,,,,,,,,,,
なんとしても,,N2,,①なんとしても彼には負けたくない。,,,,,,,,,,,,,,,,,,,
なんとなく,,N3,,①なんとなく旅に出てみたくなりました。,,,,,,,,,,,,,,,,,,,
なんとはなしに,,N2,,①なんとはなしに昔の友達に会ってみたくなりました。,,,,,,,,,,,,,,,,,,,
なんとも,なんとも,N2,,①なんとも申し訳ないことをしてしまいました。,,,,,,,,,,,,,,,,,,,
なんとも,なんともV－ない,N2,,①結果がどうなるかはまだなんとも言えませんね。,,,,,,,,,,,,,,,,,,,
なんとも,なんともV－ようがない,N1,,①こんな事になって、なんともお詫びのしようがありません。,,,,,,,,,,,,,,,,,,,
なんとも,なんともない　なんともおもわない,N4,,①A：気分が悪いんじゃありませんか。B：いいえ、なんともありません。ちょっと疲れただけです。,,,,,,,,,,,,,,,,,,,
なんとも,A－くもなんともない,N3,,①そんな話は恐くも何ともないさ。,,,,,,,,,,,,,,,,,,,
なんにしても,,N3,,①なんにしても健康が一番です。,,,,,,,,,,,,,,,,,,,
なんにしろ,Nはなんにしろ,N2,,①事情は何にしろ、早く故障した部品を取りかえなければならない。,,,,,,,,,,,,,,,,,,,
