Grammar,Usage,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
ぱなし,R－つぱなし＜継続＞,,①新幹線はとても混んでいて、東京から大阪まで立ちっぱなしだった。,,,,,,,,,,,,,,,,,,,
はやいか,V－るがはやいか,,①小学校5年の息子は、ただいまと言うが早いか、もう遊びに行ってしまった。,,,,,,,,,,,,,,,,,,,
はんいで,Nのはんいで　NからNのはんいで　Vはんいで,,①私にわかる範囲でよければお答えしましょう。,,,,,,,,,,,,,,,,,,,
はんたいに,はんたいに,,①あの子は、靴を反対にはいている。,,,,,,,,,,,,,,,,,,,
はんたいに,～と（は）はんたいに,,①姉は友だちと騒ぐのが好きだが、私は姉と反対に静かに音楽でも聞いている方が好きだ。,,,,,,,,,,,,,,,,,,,
はんめん,な／である　はんめん　A－いはんめん　V－るはんめん,,①この薬はよく効く反面、副作用も強い。,,,,,,,,,,,,,,,,,,,
はんめん,そのはんめん（では）,,①田中先生はたいへんきびしい方だが、その反面、とてもやさしいところもある。,,,,,,,,,,,,,,,,,,,
ひいては,,,①今回の事件は、一社員の不祥事であるばかりでなく、ひいては会社全体の信用をも失墜させる大きな問題であると言うことができる。,,,,,,,,,,,,,,,,,,,
ひかえて,NをNにひかえて＜時間＞,,①試合を十日後に控えて選手たちは練習に余念がない。,,,,,,,,,,,,,,,,,,,
ひかえて,NをNにひかえて＜場所＞,,①神戸は背後に六甲山をひかえて東西に広がっている。,,,,,,,,,,,,,,,,,,,
ひじょうに,,,①今日はひじょうに寒い。,,,,,,,,,,,,,,,,,,,
ひではない,Nのひではない,,①アラビア語の難しさは英語などの比ではない。,,,,,,,,,,,,,,,,,,,
ひとつ,Nひとつ～ない　Nひとつない　NひとつV－ない,,①雲一つない青空。,,,,,,,,,,,,,,,,,,,
ひとつ,～ひとつも～ない　ひとつもない　ひとつも　A－くない　ひとつも　V－ない,,①知った顔はひとつもない。,,,,,,,,,,,,,,,,,,,
ひとつ,もうひとつ／いまひとつ～ない,,①給料はいいが、仕事の内容がもうひとつ気に入らない。,,,,,,,,,,,,,,,,,,,
ひとつ,Nひとつ～できない,,①近ごろの子供はぞうきんひとつ満足にしぽれない。,,,,,,,,,,,,,,,,,,,
ひとつ,ひとつ,,①ひとつよろしくお願いしますよ。,,,,,,,,,,,,,,,,,,,
ひとつまちがえば,,,①出産というのは大変な仕事で、医学の進んだ現在でもひとつまちがえば命にかかわる。,,,,,,,,,,,,,,,,,,,
ひととおり,ひととおり,,①教科書は一通り読んだが、まだ問題集には手を付けていない。,,,,,,,,,,,,,,,,,,,
ひととおり,ひととおりのN,,①一通りのことはできるようになった。,,,,,,,,,,,,,,,,,,,
