Grammar,Usage,JLPT Level,Meaning,Reference Example,Original Example,Blanked Example,Correct Answer,Option A,Explanation A,Option B,Explanation B,Option C,Explanation C,Option D,Explanation D,Option E,Explanation E,Option F,Explanation F,Option G,Explanation G,Option H,Explanation H
ないものか,V－ないもの（だろう）か　V－れないもの（だろう）か,N2,,①この混雑は何とかならないものか。,,,,,,,,,,,,,,,,,,,
なお,なお＜程度＞,N3,,①あなたが来てくれれば、なお都合がよい。,,,,,,,,,,,,,,,,,,,
なお,なお＜但し書き＞,N2,,①入学希望者は期日までに、入学金を納入してください。なお、いったん納入された入学金は、いかなる場合にもお返しできませんので、ご了承ください。,,,,,,,,,,,,,,,,,,,
なおす,R－なおす＜意志的＞,N3,,①出版の際に、論文の一部を書き直した。,,,,,,,,,,,,,,,,,,,
なおす,R－なおす＜無意志的＞,N2,,①今年になって、景気が持ち直した。,,,,,,,,,,,,,,,,,,,
なか,Nのなか,N5,,①部屋の中にはだれがいるの。,,,,,,,,,,,,,,,,,,,
なか,Nのなかで,N4,,①3人兄弟の中では、次男が一番優秀だ。,,,,,,,,,,,,,,,,,,,
なか,～なかを　Nのなかを　A－いなかを　V－るなかを,N3,,①激しい雨の中をさまよった。,,,,,,,,,,,,,,,,,,,
ながす,R－ながす,N2,,①このレポートは、何の調査もせずに、思いついたことを適当に書き流しているだけだ。,,,,,,,,,,,,,,,,,,,
ながら,R－ながら＜同時＞,N4,,①音楽を聴きながら、勉強や仕事をする人のことを「ながら族」という。,,,,,,,,,,,,,,,,,,,
ながら,～ながら＜様態＞　Nながら　R－ながら,N2,,①いつもながら、見事なお手並みですね。,,,,,,,,,,,,,,,,,,,
ながら,ながら　A－いながら　R－ながら,N3,,①このバイクは小型ながら馬力がある。,,,,,,,,,,,,,,,,,,,
なきゃ,,N4,,①早く行かなきゃ間にあわない。,,,,,,,,,,,,,,,,,,,
なくしては,Nなくしては,N2,,①親の援助なくしては、とても一人で生活できない。,,,,,,,,,,,,,,,,,,,
なくちゃ,でなくちゃ　A一くなくちゃ　V－なくちゃ］,N4,,①勉強しなくちゃ怒られる。,,,,,,,,,,,,,,,,,,,
なくて,でなくて　A－くなくて　V－なくて,N5,,①検査の結果、ガンでなくて安心した。,,,,,,,,,,,,,,,,,,,
なくては,でなくては　A－くなくては　V－なくては,N3,,①我慢強い人でなくては彼女と付き合うのは難しい。,,,,,,,,,,,,,,,,,,,
なくてもいい,でなくてもいい　A－くなくてもいい　V－なくてもいい,N4,,①時間はたっぷりあるから、そんなに急がなくてもいいですよ。,,,,,,,,,,,,,,,,,,,
なくともよい,でなくともよい　A－くなくともよい　V－なくともよい,N3,,①履歴書は自筆でなくともよい。ただし、その場合は最後に押印、署名のこと。,,,,,,,,,,,,,,,,,,,
なくもない,動詞の否定形や形容詞「ない」の連用形を受けて、そのようなことが全くないわけではなく、それが存在したり成立することもあるという意味を表す。「ないこともない」「ないでもない」とも言う。V－なくもない,N2,,①A：お酒は召し上がらないんですか。B：飲まなくもないんですが、あまり強くはありません。,,,,,,,,,,,,,,,,,,,
