Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
いじょう,～いじょうの　N　N／V　いじょうのN,,①自分の能力以上の仕事を与えられるのは悪いことではない。,今月の生活費は、予算以上の出費になってしまって困っている。,今月の生活費は、,予算,以上の,出費に,なってしまって,困っている。,「予算（名詞）」に「以上の」が接続し、「出費（名詞）」を修飾します。「出費になる」で一つのフレーズとなり、困っている理由としてて形「なってしまって」で後ろの文につなげます。
いじょう,～いじょうに　N／V　いじょうに,,①あの人は噂以上におっちょこちょいだ。,今日のデパートは、週末以上にお客さんが多くて驚いた。,今日のデパートは、,週末,以上に,お客さんが,多くて,驚いた。,「週末（名詞）」に「以上に」がつき、基準（週末よりもさらに）を示します。その後ろに主語「お客さんが」と状態を表す「多くて」が続き、驚いた理由を説明します。
いじょう,これいじょう＋修飾句＋Nは～ない,,①これ以上わかりやすいテキストは、今のところない。,母がくれたこれ以上履き心地が良い靴は、お店を探しても見つからない。,母がくれた,これ以上,履き心地が良い,靴は、,お店を探しても,見つからない。,「これ以上」が後ろの修飾句「履き心地が良い」を強調し、それが名詞「靴は」を修飾します。さらに条件の「お店を探しても」を挟んで、最後に否定の「見つからない」で結びます。
いじょう,これいじょう～ば,,①これ以上水かさが増すと大変なことになる。,気がつけば、これ以上スーパーで買い物をすれば、今月の小遣いがなくなってしまう。,気がつけば、,これ以上,スーパーで,買い物を,すれば、,今月の小遣いがなくなってしまう。,「これ以上」が動詞の条件形「すれば」にかかります。「スーパーで」「買い物を」という目的語の塊を挟んで条件節を作り、後ろの悪い結果につなげます。
いじょう,これいじょうV－て,,①それ以上頑張ってどうなると言うのだ。,終わったことだし、これ以上一人で悩んでどうするの、早く寝たほうがいいよ。,終わったことだし、,これ以上,一人で,悩んで,どうするの、,早く寝たほうがいいよ。,「これ以上」の後に「一人で」という副詞句、そして動詞のて形「悩んで」が来ます。「これ以上〜てどうするの」で「これ以上〜しても意味がない」という反語的な表現を形成します。
いじょう,これいじょう～は＋否定的表現,,①お互いこれ以上争うのはやめましょうよ。,ダイエット中だから、これ以上夜遅くに食べるのはやめておこう。,ダイエット中だから、,これ以上,夜遅くに,食べるのは,やめて,おこう。,「これ以上」の後に、時間を表す「夜遅くに」と動詞の名詞化「食べるのは」が続きます。最後は強い意志や禁止を伴う否定的なニュアンスの「やめておこう」で結びます。
いじょう,Vいじょう（は）,,①絶対にできると言ってしまった以上、どんな失敗も許されない。,自分で料理を作ると決めた以上は、最後まで残さず食べるつもりだ。,,自分で,料理を作ると,決めた,以上は、,最後まで残さず食べるつもりだ。,「決めた（動詞過去形）」に「以上は」が接続して「〜からには」という強い決意の理由を示します。「自分で料理を作ると」という目的節が「決めた」にかかっています。
いじょう,いじょう（の）＋数量詞／N,,①田中、木村、山本、吉田、以上の4人はあとで私のところに来なさい。,今日のカレーは、牛肉、玉ねぎ、人参、以上の材料を小さく切ってから炒めてください。,今日のカレーは、,牛肉、玉ねぎ、人参、,以上の,材料を,小さく切ってから,炒めてください。,列挙された名詞の後に「以上の」が続き、それらをまとめる名詞「材料を」を修飾します。その後、動作の順序を表す「小さく切ってから」が続き、最後の動詞へとつながります。
いじょう,いじょう,,①作業が終わり次第、必ず報告に来ること。以上。,今日の買い物リストは食パンと牛乳と卵ね。以上。,今日の,買い物リストは,食パンと,牛乳と,卵ね。,以上。,伝えるべき項目（食パン、牛乳、卵）をすべて並べ終えたあとに、発言の終了を明確に示すために文末に「以上」を置きます。
いずれ1,いずれ,,①進学と就職といずれの道を選ぶのがいいか、自分でも決めかねている。,今週末は映画に行くか買い物に行くかいずれにするか、友達と相談している。,今週末は,映画に行くか,買い物に行くか,いずれに,するか、,友達と相談している。,「〜か〜か」と選択肢を提示した後に、「いずれ（どちらか）」を置いて選択の対象をまとめます。動詞「する」の疑問形「するか」に続き、相談の内容を形成します。
いずれ1,いずれにしても,,①山田は仕事の都合で遅れるとは言っていたが、いずれにしても来ることにはなっている。,天気予報では雨が降るか晴れるか分からないが、いずれにしても傘は持って行ったほうがいい。,天気予報では,雨が降るか,晴れるか分からないが、,いずれにしても,傘は持って行った,ほうがいい。,前述の不確定な状況（雨か晴れか）を受けて、「いずれにしても（どちらの場合でも）」という副詞句を置き、その後に結論となるアドバイス「〜ほうがいい」をつなげます。
いずれ1,いずれにしろ,,①やりたい仕事はいろいろあるが、いずれにしろこんな不況では希望する職にはつけそうもない。,駅まではバスか電車か迷うけれど、いずれにしろ時間は一時間くらいかかる。,駅までは,バスか電車か,迷うけれど、,いずれにしろ,時間は一時間,くらいかかる。,複数の手段（バスか電車）で迷う状況のあとに、「いずれにしろ」を置いて条件をリセットし、共通する結果（時間は一時間くらいかかる）を述べます。
いずれ1,いずれにせよ,,①今日はこの問題にはもう触れませんが、いずれにせよ今後も考えていかなければならないとは思っています。,兄が怒っている理由は分からないが、いずれにせよ私が先に謝ったほうがよさそうだ。,,兄が怒っている,理由は分からないが、,いずれにせよ,私が先に謝った,ほうがよさそうだ。,理由が不明であるという前提に対して、「いずれにせよ（どうであっても）」を使って話を展開し、最終的な判断（私が先に謝ったほうがよさそうだ）を導きます。
いずれ1,いずれも,,①ここにございます宝石類は、いずれも最高級品でございます。,母が作った料理は、いずれも美味しくて家族みんなで完食した。,,母が作った,料理は、,いずれも美味しくて,家族みんなで,完食した。,「母が作った」が「料理」を修飾し、その複数の料理を「いずれも（どれも皆）」で受けます。その後に状態（美味しくて）と行動（完食した）を並べます。
いずれ2,,,①いずれまた近いうちにおうかがいします。,ギターは毎日練習すればいずれ上手になると思う。,ギターは,毎日練習すれば,いずれ,上手に,なると,思う。,条件節「毎日練習すれば」の後に、将来のいつかを指す副詞「いずれ」を配置します。それが状態の変化を表す「上手になる」にかかり、最後の推量「と思う」につながります。
いぜん1,,,①その問題はいぜん解決されないままになっている。,先週からの風邪だが、いぜん熱が下がらないので今日も会社を休む。,先週からの風邪だが、,いぜん,熱が,下がらないので,今日も会社を,休む。,状態が以前と変わらないことを表す副詞「いぜん」が、後に続く否定の動詞句「熱が下がらない」にかかります。それが理由（ので）となり、結果（会社を休む）へとつながります。
いぜん2,いぜん,,①以前一度このホテルに泊まったことがある。,以前この近くのカフェに友達と来たことがあるのを思い出した。,,以前この近くの,カフェに,友達と来たことが,あるのを,思い出した。,過去のある時点を表す副詞「以前」が文頭に来て、過去の経験「来たことがある」を修飾します。その経験全体を「の」で名詞化して目的語とし、「思い出した」につなげます。
いぜん2,Nいぜん＜時点＞,,①彼は予定していたはずの3月31日以前に引っ越してしまったので、連絡がつかない。,オンラインショップで先週木曜日以前に注文した商品は、すでに自宅に届いている。,オンラインショップで,先週木曜日,以前に,注文した,商品は、,すでに自宅に届いている。,時点名詞「先週木曜日」に「以前に」が結合して、それより前の期間を示します。それが連体修飾句「注文した」を形成して名詞「商品は」にかかります。
いぜん2,V－るいぜん,,①二人は結婚する以前から一緒に暮らしていた。,料理を始める以前に、まずはキッチンを綺麗に片付ける必要がある。,,料理を,始める,以前に、,まずはキッチンを,綺麗に片付ける必要がある。,動詞の辞書形「始める」に「以前に」が接続し、その動作を行う前の段階であることを示します。その後、「まずは」という副詞を伴って、先にやるべき行動へと展開します。
いぜん2,Nいぜん＜段階＞,,①そんなことは常識以前の問題だ。知らない方がおかしいのだ。,彼は挨拶もまともにできないなんて、マナー以前の問題だから直したほうがいい。,彼は,挨拶もまともに,できないなんて、,マナー,以前の問題だから,直したほうがいい。,「挨拶も〜できないなんて」という事実を提示し、それが「マナー（名詞）」という段階にすら達していないことを「マナー以前の問題だから」と説明して、最後のアドバイスにつなげます。
