Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
いかにも,いかにも,N2,①A：結局、この計画が成功するかしないかは、地域の住民の方々がどう反応するかにかかっているわけですね。B：いかにもその通りです。ですから、予測がつかないと言っているのですよ。,,,,,,,,
いかん,Nいかん,N1,①これが成功するかどうかはみんなの努力いかんだ。,,,,,,,,
いかん,Nいかんで,N1,①客の出足いかんでは1週間で上映を打ち切られる可能性もある。,,,,,,,,
いくら,いくら＜質問＞,N5,①この本はいくらですか。,,,,,,,,
いくら,いくら＜不定＞,N4,①いくらなら案内してもらってもいいとこちらから先に提示した。,,,,,,,,
いくら,いくらでも,N4,①ビールならまだいくらでもあるから、安心して飲んでください。,,,,,,,,
いくら,いくらも～ない,N4,①もうワインはいくらも残っていない。,,,,,,,,
いくら,いくらV－ても,N4,①いくら練習してもうまくならない。,,,,,,,,
いくら,いくら～といっても　いくらNaだといっても　いくらA－いといっても,N3,①いくら給料がいいと言っても、残業がそんなに多いのでは就職するのはいやだ。,,,,,,,,
いくら,いくら～からといって（も）,N3,①いくら淋しいからと言って、夜中の3時に友達に電話するなんて非常識だ。,,,,,,,,
いくら,いくら～からといっても,N3,①いくら才能がないからと言っても、10年もピアノをやっていれば簡単な伴奏ぐらいはできるだろう。,,,,,,,,
いくら,いくらなんでも,N3,①そういう言い方はいくらなんでもひどすぎるよ。,,,,,,,,
いくら,いくらV－たところで,N3,①いくらがんばってみたところで結果的には同じことだ。,,,,,,,,
なくてはいけない,でなくてはいけない　A－くなくてはいけない　V－なくてはいけない,N4,①履歴書は自筆のものでなくてはいけない。,,,,,,,,
いご,Nいご,N3,①あの事件以後、そこを訪れる人はほとんどいなくなった。,,,,,,,,
いご,いご,N2,①以後私達はこの問題に関しては手を引きます。,,,,,,,,
いささか,いささか,N1,①今回の試験は前回に比べていささか難解すぎたように思う。,,,,,,,,
いささか,いささかも～ない,N1,①今回の事件には私はいささかも関係ございません。,,,,,,,,
いざしらず,N　はいざしらず,N1,①昔はいざしらず、今は会社を10も持つ大実業家だ。,,,,,,,,
いじょう,数量詞＋いじょう,N4,①体重が45キロ以上なら献血できる。,,,,,,,,
