Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ていい,でいい　A－くていい　V－ていい,N4,①この部屋にあるものは自由に使っていい。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていく,V－ていく＜移動時の様意＞,N4,①学校まで走っていこう。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていく,V－ていく＜遠ざかる移動＞,N4,①あの子は、友達とけんかして、泣きながら帰っていった。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていく,V－ていく＜継起＞,N3,①あと少しだからこの仕事をすませていきます。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていく,V－ていく＜継続＞,N3,①結婚してからも仕事は続けていくつもりです。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていく,V－ていく＜消滅＞,N3,①この学校では、毎年五百名の学生が卒業していく。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていけない,V－ていけない,N1,①この音楽を聞くたびに、別れた恋人のことが思い出されていけない。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていただく,動詞のテ形に「いただく」のついたもの。さらに丁寧な言い方に、「おR-いただく」「ごNいただく」がある。V－ていただく＜受益＞,N4,①友達のお父さんに、駅まで車で送っていただきました。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていただく,V－ていただく＜指示＞,N3,①まず、1階で受け付けをすませていただきます。それから3階の方にいらして下さい。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていただく,V－ていただきたい,N3,①A：この次からは、間違えないでいただきたいですね。B：はい、申し訳ございませんでした。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていただく,V－ていただける＜依頼＞,N3,①A二ご注文のお品ですが、取り寄せますので、3日ほど待っていただけますか。B：ええ、かまいません。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていただく,V－ていただけるとありがたい。V－ていただけるとうれしい。,N3,①A：私がやりましょう。B：そうですか。そうしていただけると助かります。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ていはしまいか,V－ていはしまいか,N1,①環境保護の運動が盛んになってきたが、本質的な問題を忘れていはしまいか。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ている,話しことばでは、「V－てる」になることが多い。V－ている＜継続＞,N5,①雨がざあざあ降っている。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ている,V－ている＜結果＞,N5,①授業はもう始まっている。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ている,V－ている,N5,①毎年、交通事故で多くの人が死んでいる。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ている,Nをしている,N5,①彼は、トラックの運転手をしている。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ている,V－ている＜経験＞,N4,①調べてみると、彼はその会社を三か月前にやめていることがわかった。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ている,V－ている,N3,①子供が大学に入るころには、父親はもう定年退職しているだろう。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
ている,V－ていない,N5,①A：もう終わりましたか。B：いいえ、まだ終わっていません。,,,,,,,,Đây là một cấu trúc ngữ pháp quan trọng cần ghi nhớ để nắm vững ý nghĩa câu. Mọi người chú ý nhé.
