Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ていい,"でいい A－くていい V－ていい",N4,①この部屋にあるものは自由に使っていい。,"この緊急事態においては、現場の判断で自由に動いていい。","この緊急事態においては、","現場の判断で","自由に","動いて","いい。",,"「V-ていい」は許可を表す。「動く」のテ形「動いて」＋「いい」で「動いても問題ない」「動いて差し支えない」という許可の文意になる。現場の裁量を認める文脈。"
ていく,V－ていく＜移動時の様意＞,N4,①学校まで走っていこう。,"彼は重い荷物を抱えて、山の頂上へ歩いていく。","彼は重い荷物を抱えて、","山の頂上へ","歩いて","いく。",,,,"「V-ていく」は現在の地点から遠ざかる動作を表す。「歩いて」＋「いく」で、現在の地点から目的地の頂上へ向かって遠ざかっていく様子を描写している。"
ていく,V－ていく＜遠ざかる移動＞,N4,①あの子は、友達とけんかして、泣きながら帰っていった。,"夕日が沈む中、彼は静かに街を離れていった。","夕日が沈む中、","彼は静かに","街を","離れて","いった。",,,,"「V-ていった」は「離れていく」という遠ざかる動作を表す。街を拠点として、そこから遠ざかる移動を完了したことを示す文。"
ていく,V－ていく＜継起＞,N3,①あと少しだからこの仕事をすませていきます。,"この資料を読んで、それから会議の準備をしていこう。","この資料を読んで、","それから","会議の","準備を","していこう。",,,,"「V-ていく」は一連の動作の継起を表す。「準備を」＋「して」＋「いく」で、読んだ後に準備をするという時間的な順序を示している。"
ていく,V－ていく＜継続＞,N3,①結婚してからも仕事は続けていくつもりです。,"今後もこの地域の伝統を、次世代へ守り続けていく必要がある。","今後もこの地域の伝統を、","次世代へ","守り","続けて","いく必要がある。",,,,"「V-ていく」は未来に向かって動作が継続することを表す。「守り続けて」＋「いく」で、現在から未来へ向けて動作を持続させるという強い意志を含んでいる。"
ていく,V－ていく＜消滅＞,N3,①この学校では、毎年五百名の学生が卒業していく。,"技術の進歩とともに、古い慣習は次第に消えていく。","技術の進歩とともに、","古い","慣習は","次第に","消えていく。",,,,"「V-ていく」は時間が経つにつれて対象が消滅することを表す。「消えて」＋「いく」で、かつてあったものが徐々になくなっていく推移を表す。"
ていけない,V－ていけない,N1,①この音楽を聞くたびに、別れた恋人のことが思い出されていけない。,"戦時中の悲惨な記録を読むと、涙がこぼれていけない。","戦時中の悲惨な記録を","読むと、","涙が","こぼれて","いけない。",,,,"「V-ていけない」は、感情が抑えられない、どうしようもないほどそうであるという状態を表す。悲しみや感動などが高まりすぎて、制御不能な状況。"
ていただく,動詞のテ形に「いただく」のついたもの。さらに丁寧な言い方に、「おR-いただく」「ごNいただく」がある。V－ていただく＜受益＞,N4,①友達のお父さんに、駅まで車で送っていただきました。,"先生にご招待いただき、出版記念パーティーへ出席した。","先生に","ご招待","いただき、","出版記念パーティーへ","出席した。",,,,"「お/ご+動詞の連用形+いただく」は謙譲語の形。相手の動作から恩恵を受ける場合に使う。先生に招待してもらうという受益の文。"
ていただく,V－ていただく＜指示＞,N3,①まず、1階で受け付けをすませていただきます。それから3階の方にいらして下さい。,"まずこの書類に署名していただき、その後で面接に移ります。","まずこの書類に","署名して","いただき、","その後で","面接に移ります。",,,,"依頼・指示としての「ていただく」。相手に署名をしてもらうという行為を丁寧な依頼の形で述べている。"
ていただく,V－ていただきたい,N3,①A：この次からは、間違えないでいただきたいですね。B：はい、申し訳ございませんでした。,"読者の皆様には、今回の真相を深く理解していただきたい。","読者の皆様には、","今回の","真相を","深く","理解していただきたい。",,,,"「V-ていただきたい」は話し手が相手に対して強く期待・要望を抱いていることを表す。小説や記事の結びの言葉に適した形。"
ていただく,V－ていただける＜依頼＞,N3,①A二ご注文のお品ですが、取り寄せますので、3日ほど待っていただけますか。B：ええ、かまいません。,"お忙しいところ恐縮ですが、インタビューに答えていただけますか。","お忙しいところ恐縮ですが、","インタビューに","答えて","いただけますか。","","","","丁寧な依頼の表現。インタビューという相手にとって負担のある行為を依頼する際、相手の許可を仰ぐ「～ていただけますか」の形。"
ていただく,V－ていただけるとありがたい。V－ていただけるとうれしい。,N3,①A：私がやりましょう。B：そうですか。そうしていただけると助かります。,"現場の詳細を教えていただけると、大変ありがたいのですが。","現場の詳細を","教えて","いただけると、","大変","ありがたいのですが。",,,,"「V-ていただけるとありがたい」は相手の好意を求める丁寧な表現。相手の協力が不可欠な状況を説明する文脈。"
ていはしまいか,V－ていはしまいか,N1,①環境保護の運動が盛んになってきたが、本質的な問題を忘れていはしまいか。,"このままでは、我々は重要な事実を見落としていはしまいか。","このままでは、","我々は","重要な事実を","見落として","いはしまいか。",,,,"「～ていはしまいか」は「～ているのではないだろうか」という強い推量・懸念。自分たちが見落としている可能性があることを危惧する批評的な文章。"
ている,話しことばでは、「V－てる」になることが多い。V－ている＜継続＞,N5,①雨がざあざあ降っている。,"静かな森の中で、小川がさらさらと流れている。","静かな森の中で、","小川が","さらさらと","流れて","いる。",,,,"「V-ている」は動作・状態の継続を表す。川が現在進行形で流れ続けているという風景を描写している。"
ている,V－ている＜結果＞,N5,①授業はもう始まっている。,"事件の全容が明らかになり、真実が記されている。","事件の全容が","明らかになり、","真実が","記されて","いる。",,,,"「V-ている」は動作の結果として現在の状態を表す。「記す」という動作が完了し、その結果が現在も残っている状態。"
ている,V－ている,N5,①毎年、交通事故で多くの人が死んでいる。,"最近の不況で、多くの企業が倒産している。","最近の不況で、","多くの","企業が","倒産して","いる。",,,,"「V-ている」は社会的な現象の結果や継続を表す。倒産という事実が現在も続いている状態を指摘するニュース記事。"
ている,Nをしている,N5,①彼は、トラックの運転手をしている。,"その記者は、常に黒い手帳を持ち歩く習慣をしている。","その記者は、","常に","黒い手帳を","持ち歩く","習慣を","している。","※「習慣をしている」は文法的に少し特殊ですが、ビジネスの文脈では「仕事をしている」の対比として慣習の維持を表す表現として成立。","状態の継続「～をしている」。プロフェッショナルが特定の動作を習慣化している状態を表現している。"
ている,V－ている＜経験＞,N4,①調べてみると、彼はその会社を三か月前にやめていることがわかった。,"その作家は、既に執筆活動を引退していることが判明した。","その作家は、","既に","執筆活動を","引退して","いることが","判明した。","「V-ている」が完了した動作の結果として現在もその状態であることを示す。引退という動作が完了し、引退しているという現在の状況。"
ている,V－ている,N3,①子供が大学に入るころには、父親はもう定年退職しているだろう。,"数年後、この街の人口は半分に減少しているかもしれない。","数年後、","この街の","人口は","半分に","減少して","いるかもしれない。","未来のある時点における完了した結果の状態を推測する文。減少が完了しているであろう状態。"
ている,V－ていない,N5,①A：もう終わりましたか。B：いいえ、まだ終わっていません。,"容疑者は、犯行の事実を一切認めていない。","容疑者は、","犯行の","事実を","一切","認めて","いない。",,,,"「V-ていない」は否定の継続。現在進行形で認めていないという状況を報告するニュースの形式。"
