Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
といっても,といっても,N3,①ビデオの作品を作った。といっても、せいぜい10分の短い作品だが。,,,,,,,,
といっても,～といっても,N3,①A：休みには故郷へ帰ります。B：じゃあ、当分お目にかかれませんね。A：いや、帰るといっても、二週間程度で、すぐまた帰って来ます。,,,,,,,,
といっても,ひとくちに～といっても,N2,①一口にアジアといっても、広大で、多種多様な文化があるのです。,,,,,,,,
といっても,～といってもいいだろう,N3,①これは、この作家の最高の傑作だといってもいいだろう。,,,,,,,,
といっても,～といってもいいすぎではない,N2,①環境破壊の問題は、これから世界の最も重要な課題になるといっても言い過ぎではない。,,,,,,,,
といわず～といわず,NといわずNといわず,N1,①風の強い日だったから、口といわず、目といわず、すなぽこりが入ってきた。,,,,,,,,
どうしても,どうしてもR－たい,N4,①次の休みには、どうしても北海道へ行きたい。,,,,,,,,
どうしても,とうしても～ない,N4,①仕事がひどぐ忙しいので、今月末までは、どうしてもあなたのところへは行けません。,,,,,,,,
どうじに,～とどうじに　Nとどうじに　V－る／V－た（の）とどうじに,N3,①スタートの合図と同時に、選手達はいっせいに走り出した。,,,,,,,,
どうじに,であるとどうじに　A／V　とどうじに〕,N2,①この手術はかなりの危険を伴うと同時に費用もかかる。,,,,,,,,
どうじに,どうじに,N2,①医者という職業は体力を必要とする。同時に、人間の繊細な心理に対する深い理解も要求される。,,,,,,,,
どうせ,どうせ,N3,①どうせ私は馬鹿ですよ。,,,,,,,,
どうせ,どうせ～（の）なら,N3,①どうせやるならもっと大きいことをやれ。,,,,,,,,
どうせ,どうせV－るいじょう（は）　どうせV－るからには,N2,①やる以上は必ず成功して戻ってこい。,,,,,,,,
どうせ,どうせ～のだから,N3,①どうせ間に合わないのだから、いまさらあわてても仕方がない。,,,,,,,,
どうせ,どうせ（のこと）だから,N3,①どうせのことだから、とびきり高級なホテルに泊まろう；き,,,,,,,,
とうぜん,Nとうぜん,N2,①実の娘同然に大切に育ててくれた。,,,,,,,,
とうぜん,～もとうぜん　Nもとうぜん　V－たもとうぜん,N2,①この子は本当は姪ですが、小さいころから一緒に暮らしているので娘も同然です。,,,,,,,,
とうてい～ない,,N2,①うちの息子の実力では、東大合格はとうてい無理だ。,,,,,,,,
とうとう,とうとうV－た,N4,①夏休みも、とうとう終わってしまった。,,,,,,,,
