Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
なんか,Nなんか,N3,①お酒はワインなんか好きで、よく飲んでいます。,,,,,,,,
なんか,V－たりなんかして,N3,①休みの日は本を読んだりなんかして過ごします。,,,,,,,,
なんか,なんか～ない,N3,①お金がないから、旅行なんか滅多にできない。,,,,,,,,
なんか～ものか,～なんかV－るものか,N2,①家になんか帰ってやるものか。,,,,,,,,
なんだか,,N4,①このあたりはなんだか気味が悪いね。,,,,,,,,
なんて1,なんてV,N4,①よく聞こえないのですが、あの人はなんて言っているのですか。,,,,,,,,
なんて1,なんて（いう）N,N4,①さっき来た人はなんていう人ですか。,,,,,,,,
なんて1,なんて（いう）Nだ,N3,①あなたって人は、なんていう人なの。,,,,,,,,
なんて1,なんてことない,N3,①これくらいのけが、なんて事ないさ。,,,,,,,,
なんて1,なんて～んだろう　なんて～Nなんだろう　なんてNaなんだろう　なんてA－いんだろう,N3,①ここはなんて寂しいところなんでしょう。,,,,,,,,
なんて2,Nなんて,N3,①あなたなんて大嫌い。,,,,,,,,
なんて2,～なんて,N3,①みんなには時間を守れなんて言ったけど、そう言った本人が遅刻してしまった。,,,,,,,,
なんて2,～なんて　N／Na（だ）なんて　A／V　なんて,N3,①一家そろって海外旅行だなんて、うらやましいですね。,,,,,,,,
なんでも,なんでも,N5,①ほしいものは何でも手に入る。,,,,,,,,
なんでも,なんでも～らしい／～そうだ,N3,①何でも彼女はもうすぐ仕事をやめるそうですよ。,,,,,,,,
なんでも,なんでもない,N4,①あの頃の苦労に比べればこんな苦労は何でもない。,,,,,,,,
なんでも,Nでもなんでもない,N3,①病気でも何でもない。ただ怠けたくて休んでいただけだ。,,,,,,,,
なんと,なんと,N3,①ご両親はなんとおっしゃっていましたか。,,,,,,,,
なんと,なんと～のだろう　なんと～Nなのだろう　なんとNaなのだろう　なんとA－いのだろう,N2,①なんと美しい人なのでしょう。,,,,,,,,
なんという,なんというN,N4,①あの人は何という名前ですか。,,,,,,,,
