Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
くらい,Nくらい,①子供じゃないんだから、自分のことぐらい自分で決めなさい。,,,,,,,,
くらい,～のは～ぐらいのものだ,①息子が電話をよこすのは、金に困った時ぐらいのものだ。,,,,,,,,
くわえて,NくわえてN,①規則正しい食事、適度な運動、くわえて近所の人達との日常的なつきあい、そういったものがこの村のお年寄りの長生きの秘訣と考えられる。,,,,,,,,
げ,Naげ　A－げ　R上げ,①その人は退屈げに雑誌のページをめくっていた。,,,,,,,,
けっか,Nのけっか　V－たけっか,①投票の結果、議長には山田さんが選出された。,,,,,,,,
けっきょく,,①バーゲンセールに行ったが、結局何も買わないで帰ってきた。,,,,,,,,
けっして～ない,,①あなたのことはけっしてわすれません。,,,,,,,,
けど,けど,①A：この本は、恵子にやるつもりだ。B：けど、それじゃ、良子がかわいそうよ。,,,,,,,,
けど,～けど,①みんながあの映画はいいと言うけど、わたしにはちっともおもしろいと思えない。,,,,,,,,
けれど,けれど,①2時間待った。けれど、彼は姿を表さなかった。,,,,,,,,
けれど,～けれど,①2時間待ったけれど、彼は姿を現さなかった。,,,,,,,,
けれど,～けれど,①いま母は留守なんですけれど。,,,,,,,,
けれども,けれども,①2時間待った。けれども、一郎は姿を現さなかった。,,,,,,,,
けれども,～けれども,①結婚式の日取りはまだ決まっていないんですけれども、たぶん夏ごろになると思います。,,,,,,,,
げんざい,,①彼が死んでしまった現在、もうそんなことを言っても意味がないよ。,,,,,,,,
ごし,Nごし＜空間＞,①となりの人とへいごしにあいさつした。,,,,,,,,
ごし,Nごし＜時間＞,①3年ごしの話し合いで、やっと離婚した。,,,,,,,,
こそ,Nこそ,①A：よろしくお願いします。B：こちらこそよろしく。,,,,,,,,
こそ,～こそ　あれ／すれ　Nこそすれ　Naでこそあれ　R－こそすれ,①あなたのその言い方は、皮肉でこそあれ、けっしてユーモアとは言えない。,,,,,,,,
こそ,～こそ～が　Nこそ～が　Naでこそあるが　R－こそするが,①この靴は、デザインこそ古いが、とても歩きやすい。,,,,,,,,
