Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ても,いくら～ても,N4,①いくら華やかな職業でも、つらいことはたくさんある。,,,,,,,,
ても,どんなに～ても,N4,①このコンピュータはどんなに複雑な問題でも解いてしまう。,,,,,,,,
ても,疑問詞～ても,N4,①だれが電話してきても、取りつがないでください。,,,,,,,,
ても,どうV－ても,N4,①どう言ってみても、硬の決心を変えさせることはできなかった。,,,,,,,,
ても,なん＋助数詞＋V－ても,N4,①何回聞いても名前が覚えられない。,,,,,,,,
ても,～ても～ただろう,N2,①たとえ、努力しても合格できなかっただろう。,,,,,,,,
ても,～ても～た,N4,①雨でも運動会は行われた。,,,,,,,,
ても,V－てもR－きれない,N3,①彼の親切に対しては、いくら感謝してもしきれない。,,,,,,,,
ても,V－てもとうなるものでもない,N2,①いまから抗議してもどうなるものでもない。,,,,,,,,
ても,V－たくてもV－れない,N4,①急に仕事が入って、飲みに行きたくても行けないのだ。,,,,,,,,
でも1,,N5,①友達はプールヘ泳ぎに行った。でも、わたしはアルバイトで行けなかった。,,,,,,,,
でも2,1Nでも,N4,①この機械は操作が簡単で、子供でも使えます。,,,,,,,,
でも2,N（＋助詞）でも,N4,①コーヒーでも飲みませんか。,,,,,,,,
でも2,R－でもしたら,N2,①放っておいて、病気が悪くなりでもしたら、どうするんですか。,,,,,,,,
でも2,でも→【ても】、【てもいい】4、【てもかまわない】、【てもよろしい】【でもあり、でもある】NでもありNでもある　NaでもありNaでもある　AくもありAくもある,N2,①彼はこの会社の創始者でもあり、今の社長でもある。,,,,,,,,
てもいい,V－てもいい＜許可＞,N5,①A：入ってもいいですか。B：どうぞ。,,,,,,,,
てもいい,V－てもいい＜可能性＞,N4,①ワインのかわりに、しょうゆで味をつけてもいい。,,,,,,,,
てもいい,V－てもいい＜申し出＞,N4,①A：わたしは、月曜日はちょっと家を出られないんですが。B：じゃあ、わたしがお宅へ伺ってもいいですよ。A：それじゃ、そうしてください。,,,,,,,,
てもいい,でもいい　A－くてもいい,N4,①印かんがなければ、サインでもいいですよ。,,,,,,,,
てもかまわない,V－てもかまわない＜許可＞,N4,①この集まりにはすこしぐらい遅れてもかまわない。,,,,,,,,
