Grammar,Usage,Meaning,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
まい,～まい＜推量＞,,①このうれしさは他人にはわかるまい。,,,,,,,,
まい,Nでもあるまい,,①仕事を紹介して下さる人もあるが、私ももう70だ。この歳になって、いまさら会社勤めでもあるまい。,,,,,,,,
まい,Nでもあるまいし,,①子供でもあるまいし、自分のことは自分でしなさい。,,,,,,,,
まい,V－ることもあるまい,,①あんなにひどい言い方をすることもあるまいに。,,,,,,,,
まい,～ではあるまいか　N／Na（なの）ではあるまいか　A／V　のではあるまいか,,①彼は若くみえるが、本当はかなりの年輩なのではあるまいか。,,,,,,,,
まい,V－てくれまいか　V－てもらえまいか,,①忙しいからと一度は断わったのだが、なんとかやってもらえまいかと何度も頼まれてしかたなく引き受けた。,,,,,,,,
まえ,Nのまえに,,①駅の前に大きなマンションが建った。,,,,,,,,
まえ,V－るまえに,,①食事をする前に手を洗いましょう。,,,,,,,,
まえ,Nをまえに（して）,,①国会議員のA氏は記者団を前に終始上機嫌だった。,,,,,,,,
まさか,まさか～ないだろう,,①彼には何度も念を押しておいたから、まさか遅れることはないだろう。,,,,,,,,
まさか,まさか～とはおもわなかった　まさかNだとはおもわなかった　まさかNaだとはおもわなかった　まさかAとはおもわなかった　まさかVとはおもわなかった,,①山田さんが病気で入院しているとは聞いていたが、まさかこんなに悪いとは思わなかった。,,,,,,,,
まさか,まさか＋否定表現,,①A：あんな失敗をするなんて、あいつは馬鹿じゃないか。もっときつく言ったほうがいいんじゃないですか。B：まさか本人に面と向かって「ばか」とも言えないじゃないか。,,,,,,,,
まさか,まさかのN,,①健康には自信があるが、家族のことを考えてまさかの時のために保険に入っている。,,,,,,,,
まさに,書きことば的なかたい表現で、話しことばに使われると大げさな感じがする。まさに,,①警察に届けられていたのは、まさに私がなくした書類だった。,,,,,,,,
まさに,まさに～　V－ようとしている（ところだ）,,①私が到着した時、会議はまさに始まろうとしているところだった。,,,,,,,,
まして,まして（や）,,①日本語の勉強を始めて3年になるが、まだ新聞を読むのも難しい。まして古典などはとても読めない。,,,,,,,,
まして,Nにもまして,,①日本の夏は暑い。しかし、暑ささにもまして耐えがたいのは、湿度の高さだ。,,,,,,,,
まず,まず,,①まずはじめに、本日の予定をお知らせいたします。,,,,,,,,
まず,まずは,,①まずは一安心した。,,,,,,,,
まず,まずかん～だろう／～まい,,①患者：もう、普通の生活に戻っても大丈夫でしょうか。医者：そうですね。無理さえしなければ、まず大丈夫でしょう。,,,,,,,,
