Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ついに,ついには,①この病気は、次第に全身が衰弱し、ついには死亡するという恐ろしい病気だ。,,,,,,,,
つきましては,,①≪招待状≫この度、新学生会館が完成いたしました。つきましては、次の通り落成式を挙行いたしますので、ご案内申し上げます。,,,,,,,,
っけ,だ（った）っけ　A－かったっけ　V－たっけ　～んだ（った）っけ,①あの人、鈴木さんだ（った）っけ？,,,,,,,,
っこない,R～っこない,①A：毎日5時間は勉強しなさい。B：そんなこと、できっこないよ。,,,,,,,,
ったら,Nったら,①太郎ったら、女の子の前で赤くなってるわ。,,,,,,,,
ったら,Vったら,①こっちへ来いったら。,,,,,,,,
ったら,～つたら,①A：ひとりで出来るの？B：出来るったら。,,,,,,,,
ったら,ったらない,①うちのおやじ、うるさいったらない。,,,,,,,,
つつ,動詞の連用形と共に使う。書きことばやかたい会話で用いるのが普通。R－つつ＜同時＞,①かれは、「呑ももう終わりですね」と言いつつ、庭へ目をやった。,,,,,,,,
つつ,R－つつ,①夏休みの間、勉強しなければいけないと思いつつ、毎日遊んで過ごしてしまった。,,,,,,,,
つつ,R－つつも,①彼は、歯痛に悩まされつつも、走り続けた。,,,,,,,,
つつ,R－つつある,①地球は温暖化しつつある。,,,,,,,,
って,NってN,①これ、キアリーって作家の書いた本です。,,,,,,,,
って,～って＜主題＞　Nって　Aって　V（の）って,①WHOって、何のことですか。,,,,,,,,
って,～って,①かれはすぐ来るっていってますよ。,,,,,,,,
って,～って,①A：これ、どこで貰ったの。B：どこって、マニラだよ。,,,,,,,,
って,なんだって　A／V　んだって,①あの人、先生なんだって。,,,,,,,,
って,～たって,①そんなこと、したってむだだ。,,,,,,,,
ってば,,①A：この字、間違ってるんじゃないか？B：あってるよ。A：いや、絶対、間違ってるってば。,,,,,,,,
っぽい,N　っぽい　R　っぽい,①男は白っぽい服を着ていた。,,,,,,,,
