Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ばかり,だとばかりおもっていた　A／V　とばかりおもっていた,N2,①河田さんは独身だとばかり思っていたが、もうお子さんが二人もあるそうだ。,,,,,,,,
ばかり,～とばかり（に）,N1,①相手チームの調子が崩れた。彼らはこのときとばかりに攻め込んだ。,,,,,,,,
ばかりか,書きことば的なかたい表現。～ばかりか　～も／～まで　Nばかりか～も／～まで　Naなばかりか　～も／～まで　A／V　ばかりか～も／～まで,N2,①彼女は、現代語ばかりか古典も読める。,,,,,,,,
ばかりか,それだかりか,N2,①上田さんは英語が話せる。そればかりか韓国語もインドネシア語も話せる。,,,,,,,,
ばかりでなく～も,,N3,①山田さんは英語ばかりでなく中国語も話せる。,,,,,,,,
ばこそ,であればこそ　A－ければこそ　V－ばこそ,N1,①すぐれた教師であればこそ、学生からあれほど慕われるのです。,,,,,,,,
はじめ,Nをはじめ（として）～など,N3,①日本の伝統芸能としては、歌舞伎をはじめ、能、茶の湯、生け花などが挙げられる。,,,,,,,,
はじめ,Nをはじめ（として）～まで,N2,①その会議には、歴史学者をはじめ、町の研究家から一般市民にいたるまで、さまざまな人々が参加した。,,,,,,,,
はじめて,V－て（みて）はじめて,N3,①病気になってはじめて健康のありがたさがわかる。,,,,,,,,
はず,Nのはず　Naなはず　A／V　はず　～はずだ＜話し手の判断＞,N3,①A：山田さんも明日の会議には出席するんですか。B：いや、今週は東京に行くと言っていたから、明日の会議には来ないはずだよ。,,,,,,,,
はず,～はずだ＜納得＞　Naなはずだ　A／V　はずだ,N3,①この部屋、寒いねえ。（窓が開いているのを見つけて）寒いはずだ。窓が開いているよ。,,,,,,,,
はず,V－たはず,N3,①おかしなことに；閉めたはずの金庫のカギが開いていた。,,,,,,,,
はず,～はずがない＜可能性の否定＞,N3,①あの温厚な人がそんなひどいことをするはずがない。,,,,,,,,
はず,～はずだった,N3,①彼も来るはずだったが、急用ができて来られないそうだ。,,,,,,,,
はず,～はずではなかった,N3,①こんなはずではなかった。もっとうまくいくと思っていたのに。,,,,,,,,
はずみ,Nのはずみ　で／に　V一たはずみ　で／に,N2,①ころんだはずみに足首を捻挫してしまった。,,,,,,,,
はたして,はたして～か,N2,①説明書の通りに組み立ててみたが、はたしてこれでうまく動くものかどうか自信がない。,,,,,,,,
はたして,はたして～した,N2,①彼もやって来るのではないかと思っていたところ、はたして現れた。,,,,,,,,
はたして,はたして～としても,N1,①はたして彼の言うことが事実であったとしても、彼に責任がないということにはならない。,,,,,,,,
ぱなし,Rっぱなし　動詞の連用形に付く。「R－はなし」の形で使われることもある。R－っぱなし＜放任＞,N3,①ドアを開けっ放しにしないでください。,,,,,,,,
