Grammar,Usage,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
ひととおり,ひととおりではない,①成功するまでの彼の努力は、一通りではなかった。,,,,,,,,
ひとり～だけでなく,ひとりNだけでなく,①子供のいじめは、ひとり日本だけでなく世界諸国の問題でもある。,,,,,,,,
ひとり～のみならず,ひとりNのみならず,①環境汚染の問題は、ひとり我が国のみならず全世界の問題でもある。,,,,,,,,
ふう,Nふう,①あの寺は中国風だ。,,,,,,,,
ふう,～ふう＜様子＞　Naなふう　A－いふう　V－ている／V－た　ふう,①そんなに嫌がっているふうでもなかった。,,,,,,,,
ふう,こういうふう,①こういうふうにやってごらん。,,,,,,,,
ふう,～というふうに,①好きな時間に会社へ行き、好きな時間に帰るというふうにはいかないものだろうか。,,,,,,,,
ふしがある,,①彼はどうも行くのをいやがっているふしがある。,,,,,,,,
ふそくはない,,①相手にとって不足はない。,,,,,,,,
ふと,ふと,①彼は映画の広告を見つけて、ふと立ち止まった。,,,,,,,,
ふと,ふとV－ると,①ふと見上げると、空にはぽっかり白い雲が浮かんでいた。,,,,,,,,
ふと,ふとしたN,①長い一生の間には、ふとしたことで、人生が嫌になることがあるものだ。,,,,,,,,
ぶり,～ぶり　Nぶり　R－ぶり,①最近の彼女の活躍ぶりは、みんなが知っている。,,,,,,,,
ぶり,～ぶり,①10数年ぶりに国に帰った。,,,,,,,,
ぶる,N／Naぶる,①彼は、通ぶってフランスの上等なワインしか飲まない。,,,,,,,,
ぶん,～ぶん　Nのぶん　Vぶん　期間を表す名詞＋ぶん,①甘いものが大好きな弟は、私のぶんのケーキまで食べてしまった。,,,,,,,,
ぶん,～ぶん（だけ）　Nのぶん　Naなぶん　A／V　ぶん,①1年間の休職の分だけ、仕事がたまっていた。,,,,,,,,
ぶん,このぶんでいくと　このぶんでは,①一年かかって、まだ半分も終わっていない。このぶんでいくと完成するには三年ぐらいかかりそうだ。,,,,,,,,
ぶん,～ぶんには　Naなぶんには　A／V　ぶんには,①はたで見ているぶんには楽そうだが、自分でやってみるとどんなに大変かがわかる。,,,,,,,,
べからざる,V－るべからざる,①川端康成は日本の文学史上、欠くべからざる作家だ。,,,,,,,,
