Grammar,Usage,JLPT Level,Reference Example,Original Example,Prefix,Chunk1,Chunk2,Chunk3,Chunk4,Suffix,Explanation
も,～もV－ない　NもV－ない　R－もしない,N4,①あいつは本当に失礼な奴だ。道であっても、挨拶もしない。,,,,,,,,
も,～もV－ずに,N2,①わたしは深く考えもせず、失礼なことを言ってしまった。,,,,,,,,
も,～もの／～ことも　V－ない　V－る　もの／こと　もV－ない,N2,①寝坊したので、食べるものも食べないであわてて会社へ行った。,,,,,,,,
もう1,もう＋数量詞,N5,①すみません、もう5分ここにいてください。,,,,,,,,
もう1,もうすこし／もうちょっと＜量＞,N5,①もう少し、ミルクをください。,,,,,,,,
もう1,もうすこし／もうちょっと＜程度＞,N4,①もう少しいい車を買いたい。,,,,,,,,
もう1,もうすこしでV－そうだった,N3,①もう少しでうまくいきそうだったのに、邪魔が入ってしまった。,,,,,,,,
もう1,もうすこしでV－るところだった,N3,①もう少しでけがするところだった。,,,,,,,,
もう2,もう＜完了＞,N5,①今日の仕事はもう全部終わった。,,,,,,,,
もう2,もう＋時間／＋年齢,N5,①おしゃべりに夢中になっていたら、もう5時だ。,,,,,,,,
もう2,もうNaだ／もういい,N5,①もうおなかが一杯だ。,,,,,,,,
もう2,もう～ない,N5,①山田さんはもうここにはいません。,,,,,,,,
もう2,もう＋否定的表現,N4,①こんな退屈な仕事はもうやめたい。,,,,,,,,
もう2,もういい,N4,①A：ほかに出す書類がありますか。B：これでもういいです。,,,,,,,,
もう2,もう＜非難＞,N3,①お母さんたら、もう。わたしの友達の悪口を言うのはやめてよ。,,,,,,,,
もうすぐ,,N5,①田中さんはもうすぐ来ます。,,,,,,,,
もかまわず,N（に）もかまわず　Vの（に）もかまわず,N2,①喜びのあまり、人目もかまわず抱きついた。,,,,,,,,
もくされている,Nともくされている,N1,①今度の競馬では、マックィーンが一番人気と目されている。,,,,,,,,
もさることながら,Nもさることながら,N1,①彼は、大学の成績もさることながら、スポーツ万能で親孝行という申し分のない息子だ。,,,,,,,,
もし,後に条件表現を伴い、ことがらを仮定的に設定する話し手の態度を表す副詞。文頭で用いられることが多い。類義表現に「かりに」「もしも」がある。「もしも」との違いについては「もしも」を参照。もし～たら,N4,①もし雨が降ってきたら、洗濯物を取り込んでおいてね。,,,,,,,,
